"NAME","Total","White","Black","Asian","Hispanic","Other","FIPS"
"Knoxville-Sevierville-La Follette, TN CSA",1055086,933840,50689,11895,39322,19340,"314"
"Kokomo-Peru, IN CSA",135591,120753,7262,929,3455,3192,"316"
"Lafayette-Acadiana, LA CSA",550134,368190,149543,7030,15729,9642,"318"
"Lafayette-Frankfort, IN CSA",235013,194690,6947,10779,18484,4113,"320"
"Lake Charles-Jennings, LA CSA",231201,165003,53059,2120,5637,5382,"324"
"Lansing-East Lansing-Owosso, MI CSA",534684,430482,40403,17646,30269,15884,"330"
"Las Vegas-Paradise-Pahrump, NV CSA",1995215,970618,195657,165668,574611,88661,"332"
"Lexington-Fayette--Frankfort--Richmond, KY CSA",687173,567788,60417,12370,32206,14392,"336"
"Lima-Van Wert-Wapakoneta, OH CSA",181024,159684,12869,955,3796,3720,"338"
"Little Rock-North Little Rock-Pine Bluff, AR CSA",877091,604775,205104,11237,38270,17705,"340"
"Longview-Marshall, TX CSA",280000,184153,51118,1996,37494,5239,"346"
"Los Angeles-Long Beach-Riverside, CA CSA",17877006,6004354,1173691,2162146,8028831,507984,"348"
"Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN CSA (part); Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN CSA (part)",1427483,1130787,186250,22069,56460,31917,"350"
"Lubbock-Levelland, TX CSA",307825,174235,20957,5714,102088,4831,"352"
"Lumberton-Laurinburg, NC CSA",170325,52765,46231,1247,11686,58396,"354"
"Macon-Warner Robins-Fort Valley, GA CSA",399888,216968,152661,6515,16069,7675,"356"
"Madison-Baraboo, WI CSA",630569,533351,25830,23657,33380,14351,"358"
"Mansfield-Bucyrus, OH CSA",168259,149953,11987,956,2265,3098,"360"
"Midland-Odessa, TX CSA",274002,129128,14271,2643,123931,4029,"372"
"Milwaukee-Racine-Waukesha, WI CSA",1751316,1218523,276991,47669,170049,38084,"376"
"Minneapolis-St. Paul-St. Cloud, MN-WI CSA (part); Minneapolis-St. Paul-St. Cloud, MN-WI CSA (part)",3615902,2882068,246860,192241,189380,105353,"378"
"Mobile-Daphne-Fairhope, AL CSA",595257,396104,159238,8847,17928,13140,"380"
