"NAME","Total","White","Black","Asian","Hispanic","Other","FIPS"
"Bend, OR Metro Area",157733,139470,524,1412,11718,4609,"13460"
"Bennettsville, SC Micro Area",28933,11657,14652,74,800,1750,"13500"
"Bennington, VT Micro Area",37125,35517,291,264,525,528,"13540"
"Berlin, NH-VT Micro Area (part); Berlin, NH-VT Micro Area (part)",39361,37895,157,187,460,662,"13620"
"Big Rapids, MI Micro Area",42798,39633,1055,277,731,1102,"13660"
"Big Spring, TX Micro Area",35012,18801,2079,256,13255,621,"13700"
"Billings, MT Metro Area",158050,140131,882,937,7143,8957,"13740"
"Binghamton, NY Metro Area",251725,222179,9199,7390,7472,5485,"13780"
"Birmingham-Hoover, AL Metro Area",1128047,733656,317019,13748,48530,15094,"13820"
"Bishop, CA Micro Area",18546,12296,102,229,3597,2322,"13860"
"Bismarck, ND Metro Area",108779,100591,588,439,1386,5775,"13900"
"Blackfoot, ID Micro Area",45607,34176,78,268,7864,3221,"13940"
"Blacksburg-Christiansburg-Radford, VA Metro Area",162958,143718,6896,5573,3562,3209,"13980"
"Bloomington, IN Metro Area",192714,172163,4477,7351,4549,4174,"14020"
"Bloomington-Normal, IL Metro Area",169572,138835,12246,7180,7434,3877,"14060"
"Bloomsburg-Berwick, PA Micro Area",85562,80706,1427,870,1673,886,"14100"
"Bluefield, WV-VA Micro Area (part); Bluefield, WV-VA Micro Area (part)",107342,99403,5070,609,776,1484,"14140"
"Blytheville, AR Micro Area",46480,28106,15761,229,1695,689,"14180"
"Bogalusa, LA Micro Area",47168,31019,14561,108,887,593,"14220"
"Boise City-Nampa, ID Metro Area",616561,505202,5108,10799,77538,17914,"14260"
"Bonham, TX Micro Area",33915,27433,2273,122,3226,861,"14300"
"Boone, IA Micro Area",26306,25194,202,87,505,318,"14340"
"Boone, NC Micro Area",51079,47268,855,467,1713,776,"14380"
"Borger, TX Micro Area",22150,16482,512,91,4386,679,"14420"
"Boston-Cambridge-Quincy, MA-NH Metro Area (part); Boston-Cambridge-Quincy, MA-NH Metro Area (part)",4552402,3408585,301533,292786,410516,138982,"14460"
"Boulder, CO Metro Area",294567,233741,2265,11996,39276,7289,"14500"
"Bowling Green, KY Metro Area",125953,104540,10370,3176,5274,2593,"14540"
"Bozeman, MT Micro Area",89513,83545,277,1011,2470,2210,"14580"
"Bradford, PA Micro Area",43450,41039,1008,191,757,455,"14620"
"Brainerd, MN Micro Area",91067,84362,356,320,992,5037,"14660"
"Branson, MO Micro Area",83877,78021,451,424,3047,1934,"14700"
"Bremerton-Silverdale, WA Metro Area",251133,198745,6329,12082,15686,18291,"14740"
"Brenham, TX Micro Area",33718,22394,5861,432,4641,390,"14780"
"Brevard, NC Micro Area",33090,30049,1279,143,964,655,"14820"
"Bridgeport-Stamford-Norwalk, CT Metro Area",916829,606716,92705,41801,155025,20582,"14860"
"Brigham City, UT Micro Area",49975,44109,139,430,4152,1145,"14940"
"Brookhaven, MS Micro Area",34869,23702,10400,117,330,320,"15020"
"Brookings, OR Micro Area",22364,19837,62,157,1201,1107,"15060"
"Brookings, SD Micro Area",31965,29513,246,866,636,704,"15100"
"Brownsville, TN Micro Area",18787,8419,9431,21,723,193,"15140"
"Brownsville-Harlingen, TX Metro Area",406220,43427,1192,2486,357747,1368,"15180"
"Brownwood, TX Micro Area",38106,28478,1303,160,7453,712,"15220"
"Brunswick, GA Metro Area",112370,77516,26188,976,5696,1994,"15260"
"Bucyrus, OH Micro Area",43784,42227,375,156,533,493,"15340"
"Buffalo-Niagara Falls, NY Metro Area",1135509,903063,134427,25428,46425,26166,"15380"
"Burley, ID Micro Area",43021,29837,82,174,12217,711,"15420"
"Burlington, IA-IL Micro Area (part); Burlington, IA-IL Micro Area (part)",47656,43192,2020,300,1121,1023,"15460"
"Burlington, NC Metro Area",151131,101718,27985,1806,16639,2983,"15500"
"Burlington-South Burlington, VT Metro Area",211261,194738,3395,4612,3507,5009,"15540"
"Butte-Silver Bow, MT Micro Area",34200,31515,103,161,1253,1168,"15580"
"Cadillac, MI Micro Area",47584,45476,164,238,825,881,"15620"
"Calhoun, GA Micro Area",55186,44107,1945,522,7738,874,"15660"
"Cambridge, MD Micro Area",32618,21581,8937,299,1130,671,"15700"
"Cambridge, OH Micro Area",40087,38276,580,109,349,773,"15740"
"Camden, AR Micro Area",31488,18645,11624,106,560,553,"15780"
"Campbellsville, KY Micro Area",24512,22329,1210,128,433,412,"15820"
"Cañon City, CO Micro Area",46824,37647,1805,274,5770,1328,"15860"
"Canton, IL Micro Area",37069,34397,1268,111,896,397,"15900"
"Canton-Massillon, OH Metro Area",404422,357541,28405,2792,6203,9481,"15940"
