"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Atlanta-Sandy Springs-Marietta, GA Metro Area",5268860,4721460,2671757,1679979,10734,252510,2075,13732,90673,547400,248723,27934,7229,1797,574,225725,35418,"12060"
"Atlantic City-Hammonton, NJ Metro Area",274549,228308,160871,40882,488,20419,60,463,5125,46241,18695,3256,562,176,32,19755,3765,"12100"
"Auburn, IN Micro Area",42223,41192,40406,141,84,186,17,19,339,1031,525,7,15,6,0,330,148,"12140"
"Auburn, NY Micro Area",80026,78130,73098,3009,252,387,26,112,1246,1896,944,186,31,3,5,542,185,"12180"
"Auburn-Opelika, AL Metro Area",140247,135676,97900,31674,397,3615,66,164,1860,4571,2106,227,48,43,39,1709,399,"12220"
"Augusta-Richmond County, GA-SC Metro Area (part); Augusta-Richmond County, GA-SC Metro Area (part)",556877,532165,314669,194573,1674,9558,657,776,10258,24712,10692,2122,267,111,51,8954,2515,"12260"
"Augusta-Waterville, ME Micro Area",122151,120647,116549,642,559,886,44,93,1874,1504,952,45,27,6,1,279,194,"12300"
"Austin, MN Micro Area",39163,35025,32975,791,62,636,36,30,495,4138,2520,27,35,13,4,1306,233,"12380"
"Austin-Round Rock-San Marcos, TX Metro Area",1716289,1177976,938474,120510,4858,80980,1060,2869,29225,538313,311858,6887,8594,1453,287,183586,25648,"12420"
"Bainbridge, GA Micro Area",27842,26438,14615,11366,57,138,3,33,226,1404,481,72,60,6,3,670,112,"12460"
"Bakersfield-Delano, CA Metro Area",839631,426598,323794,45377,5893,33100,995,1472,15967,413033,175972,3544,6783,1746,257,202842,21889,"12540"
"Baltimore-Towson, MD Metro Area",2710489,2586735,1626199,769641,6782,122153,1174,4484,56302,123754,58237,9238,1735,758,293,42139,11354,"12580"
"Bangor, ME Metro Area",153923,152303,145700,1117,1774,1405,41,88,2178,1620,1102,42,35,17,3,250,171,"12620"
"Baraboo, WI Micro Area",61976,59301,57331,330,690,332,13,30,575,2675,1257,27,79,5,0,1126,181,"12660"
"Barnstable Town, MA Metro Area",215888,211201,197327,3857,1184,2263,65,2284,4221,4687,2867,205,140,24,20,951,480,"12700"
"Barre, VT Micro Area",59534,58539,56473,411,126,495,11,56,967,995,719,30,25,7,0,129,85,"12740"
"Bartlesville, OK Micro Area",50976,48420,38691,1194,5119,552,16,30,2818,2556,1238,37,128,2,0,861,290,"12780"
"Bastrop, LA Micro Area",27979,27724,14251,13078,36,98,12,9,240,255,94,55,0,4,2,66,34,"12820"
"Batavia, NY Micro Area",60079,58463,54990,1491,661,355,2,55,909,1616,797,121,18,2,2,520,156,"12860"
"Batesville, AR Micro Area",36647,34508,32914,709,142,276,19,16,432,2139,774,13,37,2,21,1162,130,"12900"
"Baton Rouge, LA Metro Area",802484,775127,465308,284561,1922,14222,178,958,7978,27357,14295,1350,272,123,89,9424,1804,"12940"
"Battle Creek, MI Metro Area",136146,129969,108664,14630,714,2154,45,142,3620,6177,3251,242,117,25,11,1962,569,"12980"
"Bay City, MI Metro Area",107771,102678,98241,1574,476,566,13,43,1765,5093,3210,128,88,12,1,1012,642,"13020"
"Bay City, TX Micro Area",36702,22628,17400,4060,104,693,7,33,331,14074,8737,140,154,26,1,4497,519,"13060"
"Beatrice, NE Micro Area",22311,21926,21432,72,101,81,3,4,233,385,178,0,7,5,0,129,66,"13100"
"Beaumont-Port Arthur, TX Metro Area",388745,338696,228486,94603,1269,9591,108,347,4292,50049,23071,860,755,119,24,22407,2813,"13140"
"Beaver Dam, WI Micro Area",88759,85237,81325,2361,369,460,39,23,660,3522,1969,20,16,12,2,1286,217,"13180"
"Beckley, WV Micro Area",78859,77863,69246,6390,180,715,23,61,1248,996,554,78,14,3,0,227,120,"13220"
"Bedford, IN Micro Area",46134,45589,44562,181,148,224,9,17,448,545,343,5,10,0,5,120,62,"13260"
"Beeville, TX Micro Area",31861,13955,10967,2525,70,162,10,38,183,17906,14125,67,95,15,7,3042,555,"13300"
