"NAME","P0050001","FIPS"
"Buffalo-Niagara Falls, NY Metro Area",1135509,"15380"
"Burley, ID Micro Area",43021,"15420"
"Burlington, IA-IL Micro Area (part); Burlington, IA-IL Micro Area (part)",47656,"15460"
"Burlington, NC Metro Area",151131,"15500"
"Burlington-South Burlington, VT Metro Area",211261,"15540"
"Butte-Silver Bow, MT Micro Area",34200,"15580"
"Cadillac, MI Micro Area",47584,"15620"
"Calhoun, GA Micro Area",55186,"15660"
"Cambridge, MD Micro Area",32618,"15700"
"Cambridge, OH Micro Area",40087,"15740"
"Camden, AR Micro Area",31488,"15780"
"Campbellsville, KY Micro Area",24512,"15820"
"Cañon City, CO Micro Area",46824,"15860"
"Canton, IL Micro Area",37069,"15900"
"Canton-Massillon, OH Metro Area",404422,"15940"
"Cape Coral-Fort Myers, FL Metro Area",618754,"15980"
"Cape Girardeau-Jackson, MO-IL Metro Area (part); Cape Girardeau-Jackson, MO-IL Metro Area (part)",96275,"16020"
"Carbondale, IL Micro Area",60218,"16060"
"Carlsbad-Artesia, NM Micro Area",53829,"16100"
"Carson City, NV Metro Area",55274,"16180"
"Casper, WY Metro Area",75450,"16220"
"Cedar City, UT Micro Area",46163,"16260"
"Cedar Rapids, IA Metro Area",257940,"16300"
"Cedartown, GA Micro Area",41475,"16340"
"Celina, OH Micro Area",40814,"16380"
"Central City, KY Micro Area",31499,"16420"
"Centralia, IL Micro Area",39437,"16460"
"Centralia, WA Micro Area",75455,"16500"
"Chambersburg, PA Micro Area",149618,"16540"
"Champaign-Urbana, IL Metro Area",231891,"16580"
"Charleston, WV Metro Area",304284,"16620"
"Charleston-Mattoon, IL Micro Area",64921,"16660"
"Charleston-North Charleston-Summerville, SC Metro Area",664607,"16700"
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part); Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part)",1758038,"16740"
"Charlottesville, VA Metro Area",201559,"16820"
"Chattanooga, TN-GA Metro Area (part); Chattanooga, TN-GA Metro Area (part)",528143,"16860"
"Chester, SC Micro Area",33140,"16900"
"Cheyenne, WY Metro Area",91738,"16940"
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area (part); Chicago-Joliet-Naperville, IL-IN-WI Metro Area (part); Chicago-Joliet-Naperville, IL-IN-WI Metro Area (part)",9461105,"16980"
"Chico, CA Metro Area",220000,"17020"
"Chillicothe, OH Micro Area",78064,"17060"
"Cincinnati-Middletown, OH-KY-IN Metro Area (part); Cincinnati-Middletown, OH-KY-IN Metro Area (part); Cincinnati-Middletown, OH-KY-IN Metro Area (part)",2130151,"17140"
"Claremont, NH Micro Area",43742,"17200"
"Clarksburg, WV Micro Area",94196,"17220"
"Clarksdale, MS Micro Area",26151,"17260"
"Clarksville, TN-KY Metro Area (part); Clarksville, TN-KY Metro Area (part)",273949,"17300"
"Clearlake, CA Micro Area",64665,"17340"
"Cleveland, MS Micro Area",34145,"17380"
"Cleveland, TN Metro Area",115788,"17420"
"Cleveland-Elyria-Mentor, OH Metro Area",2077240,"17460"
"Clewiston, FL Micro Area",39140,"17500"
"Clinton, IA Micro Area",49116,"17540"
"Clovis, NM Micro Area",48376,"17580"
"Coeur d'Alene, ID Metro Area",138494,"17660"
"Coffeyville, KS Micro Area",35471,"17700"
"Coldwater, MI Micro Area",45248,"17740"
"College Station-Bryan, TX Metro Area",228660,"17780"
"Colorado Springs, CO Metro Area",645613,"17820"
"Columbia, MO Metro Area",172786,"17860"
"Columbia, SC Metro Area",767598,"17900"
"Columbia, TN Micro Area",80956,"17940"
"Columbus, GA-AL Metro Area (part); Columbus, GA-AL Metro Area (part)",294865,"17980"
"Columbus, IN Metro Area",76794,"18020"
"Columbus, MS Micro Area",59779,"18060"
"Columbus, NE Micro Area",32237,"18100"
"Columbus, OH Metro Area",1836536,"18140"
"Concord, NH Micro Area",146445,"18180"
"Connersville, IN Micro Area",24277,"18220"
"Cookeville, TN Micro Area",106042,"18260"
"Coos Bay, OR Micro Area",63043,"18300"
"Corbin, KY Micro Area",35637,"18340"
"Cordele, GA Micro Area",23439,"18380"
"Corinth, MS Micro Area",37057,"18420"
"Cornelia, GA Micro Area",43041,"18460"
"Corning, NY Micro Area",98990,"18500"
"Corpus Christi, TX Metro Area",428185,"18580"
"Corsicana, TX Micro Area",47735,"18620"
"Cortland, NY Micro Area",49336,"18660"
"Corvallis, OR Metro Area",85579,"18700"
"Coshocton, OH Micro Area",36901,"18740"
"Crawfordsville, IN Micro Area",38124,"18820"
"Crescent City, CA Micro Area",28610,"18860"
"Crestview-Fort Walton Beach-Destin, FL Metro Area",180822,"18880"
"Crossville, TN Micro Area",56053,"18900"
"Crowley, LA Micro Area",61773,"18940"
"Cullman, AL Micro Area",80406,"18980"
"Culpeper, VA Micro Area",46689,"19020"
"Cumberland, MD-WV Metro Area (part); Cumberland, MD-WV Metro Area (part)",103299,"19060"
"Dallas-Fort Worth-Arlington, TX Metro Area",6371773,"19100"
"Dalton, GA Metro Area",142227,"19140"
"Danville, IL Metro Area",81625,"19180"
"Danville, KY Micro Area",53174,"19220"
"Danville, VA Metro Area",106561,"19260"
"Daphne-Fairhope-Foley, AL Micro Area",182265,"19300"
"Davenport-Moline-Rock Island, IA-IL Metro Area (part); Davenport-Moline-Rock Island, IA-IL Metro Area (part)",379690,"19340"
"Dayton, OH Metro Area",841502,"19380"
"Decatur, AL Metro Area",153829,"19460"
"Decatur, IL Metro Area",110768,"19500"
"Decatur, IN Micro Area",34387,"19540"
