"NAME","P0050001","FIPS"
"Lake County",64665,"06033"
"Lassen County",34895,"06035"
"Los Angeles County",9818605,"06037"
"Madera County",150865,"06039"
"Marin County",252409,"06041"
"Mariposa County",18251,"06043"
"Mendocino County",87841,"06045"
"Merced County",255793,"06047"
"Modoc County",9686,"06049"
"Mono County",14202,"06051"
"Monterey County",415057,"06053"
"Napa County",136484,"06055"
"Nevada County",98764,"06057"
"Orange County",3010232,"06059"
"Placer County",348432,"06061"
"Plumas County",20007,"06063"
"Riverside County",2189641,"06065"
"Sacramento County",1418788,"06067"
"San Benito County",55269,"06069"
"San Bernardino County",2035210,"06071"
"San Diego County",3095313,"06073"
"San Francisco County",805235,"06075"
"San Joaquin County",685306,"06077"
"San Luis Obispo County",269637,"06079"
"San Mateo County",718451,"06081"
"Santa Barbara County",423895,"06083"
"Santa Clara County",1781642,"06085"
"Santa Cruz County",262382,"06087"
"Shasta County",177223,"06089"
"Sierra County",3240,"06091"
"Siskiyou County",44900,"06093"
"Solano County",413344,"06095"
"Sonoma County",483878,"06097"
"Stanislaus County",514453,"06099"
"Sutter County",94737,"06101"
"Tehama County",63463,"06103"
"Trinity County",13786,"06105"
"Tulare County",442179,"06107"
"Tuolumne County",55365,"06109"
"Ventura County",823318,"06111"
"Yolo County",200849,"06113"
"Yuba County",72155,"06115"
"Adams County",441603,"08001"
"Alamosa County",15445,"08003"
"Arapahoe County",572003,"08005"
"Archuleta County",12084,"08007"
"Baca County",3788,"08009"
"Bent County",6499,"08011"
"Boulder County",294567,"08013"
"Broomfield County",55889,"08014"
"Chaffee County",17809,"08015"
"Cheyenne County",1836,"08017"
"Clear Creek County",9088,"08019"
"Conejos County",8256,"08021"
"Costilla County",3524,"08023"
"Crowley County",5823,"08025"
"Custer County",4255,"08027"
"Delta County",30952,"08029"
"Denver County",600158,"08031"
"Dolores County",2064,"08033"
"Douglas County",285465,"08035"
"Eagle County",52197,"08037"
"Elbert County",23086,"08039"
"El Paso County",622263,"08041"
"Fremont County",46824,"08043"
"Garfield County",56389,"08045"
"Gilpin County",5441,"08047"
"Grand County",14843,"08049"
"Gunnison County",15324,"08051"
"Hinsdale County",843,"08053"
"Huerfano County",6711,"08055"
"Jackson County",1394,"08057"
"Jefferson County",534543,"08059"
"Kiowa County",1398,"08061"
"Kit Carson County",8270,"08063"
"Lake County",7310,"08065"
"La Plata County",51334,"08067"
"Larimer County",299630,"08069"
"Las Animas County",15507,"08071"
"Lincoln County",5467,"08073"
"Logan County",22709,"08075"
