"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Fargo-Wahpeton, ND-MN CSA (part); Fargo-Wahpeton, ND-MN CSA (part)",231674,226202,210609,4320,2786,4466,73,188,3760,5472,3271,75,238,18,9,1232,629,"244"
"Findlay-Tiffin, OH CSA",131527,125640,119627,2311,211,1579,17,119,1776,5887,3384,152,65,8,5,1654,619,"248"
"Fond du Lac-Beaver Dam, WI CSA",190392,182502,174723,3587,791,1589,55,68,1689,7890,4245,99,65,31,7,2941,502,"252"
"Fort Polk South-DeRidder, LA CSA",87988,83210,66524,11877,1010,1098,258,103,2340,4778,2411,221,84,45,19,1354,644,"256"
"Fort Wayne-Huntington-Auburn, IN CSA",611712,578917,513776,41906,1573,10585,170,769,10138,32795,14668,686,346,128,78,13809,3080,"258"
"Fresno-Madera, CA CSA",1081315,532253,361902,50014,7769,89389,1173,2393,19613,549062,247699,5138,12016,2770,394,252072,28973,"260"
"Grand Rapids-Muskegon-Holland, MI CSA",1321557,1217854,1074570,89427,5476,22684,288,1191,24218,103703,47392,3068,1697,350,109,42343,8744,"266"
"Greensboro--Winston-Salem--High Point, NC CSA",1589200,1451041,1064652,322535,5605,31841,521,2634,23253,138159,48267,4662,2160,311,158,74556,8045,"268"
"Greenville-Spartanburg-Anderson, SC CSA",1266995,1196260,937493,218880,2588,18719,379,1502,16699,70735,29672,1946,880,205,93,33602,4337,"273"
"Gulfport-Biloxi-Pascagoula, MS CSA",411066,392613,295154,79034,1587,8769,320,423,7326,18453,9037,764,213,100,48,6685,1606,"274"
"Harrisburg-Carlisle-Lebanon, PA CSA",683043,644802,558353,55975,880,17202,148,774,11470,38241,16836,3119,383,147,50,14051,3655,"276"
"Hartford-West Hartford-Willimantic, CT CSA",1330809,1168239,969154,123957,2136,48232,306,2906,21548,162570,69131,10589,1330,495,121,69675,11229,"278"
"Houston-Baytown-Huntsville, TX CSA",6051363,3926488,2417543,1018041,14234,385906,2942,11140,76682,2124875,1235039,27191,24562,4451,954,727606,105072,"288"
"Huntsville-Decatur, AL CSA",571422,541697,405562,107843,5678,9784,421,659,11750,29725,11275,1085,415,138,99,14898,1815,"290"
"Idaho Falls-Blackfoot, ID CSA",175981,153564,145974,651,3246,1212,135,171,2175,22417,9033,91,717,32,10,11157,1377,"292"
"Indianapolis-Anderson-Columbus, IN CSA",2080782,1960571,1600154,274242,4063,42830,648,3794,34840,120211,48117,3130,1404,362,194,58631,8373,"294"
"Ithaca-Cortland, NY CSA",150900,145542,127742,4478,396,9092,43,245,3546,5358,3100,302,101,61,7,1201,586,"296"
"Jackson-Humboldt, TN CSA",165108,160447,110468,46398,309,1054,34,158,2026,4661,1767,147,54,30,5,2298,360,"297"
"Jackson-Yazoo City, MS CSA",567122,554430,270989,272026,839,5745,179,348,4304,12692,4672,1008,150,44,38,5762,1018,"298"
"Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA CSA (part); Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA CSA (part)",508260,498874,477067,11333,1140,3187,81,349,5717,9386,4628,180,136,13,45,3599,785,"304"
"Jonesboro-Paragould, AR CSA",163116,157395,138807,14560,533,1220,34,99,2142,5721,2183,88,77,8,6,2911,448,"308"
"Kansas City-Overland Park-Kansas City, MO-KS CSA (part); Kansas City-Overland Park-Kansas City, MO-KS CSA (part)",2104853,1936176,1576407,253634,8771,46608,3103,2580,45073,168677,82975,4007,2037,485,242,65975,12956,"312"
"Knoxville-Sevierville-La Follette, TN CSA",1055086,1015764,933840,50689,2713,11895,482,996,15149,39322,17804,765,591,152,156,17302,2552,"314"
"Kokomo-Peru, IN CSA",135591,132136,120753,7262,575,929,26,164,2427,3455,1958,120,69,5,7,867,429,"316"
"Lafayette-Acadiana, LA CSA",550134,534405,368190,149543,1762,7030,91,901,6888,15729,8044,907,122,75,32,5298,1251,"318"
"Lafayette-Frankfort, IN CSA",235013,216529,194690,6947,437,10779,48,277,3351,18484,8721,198,148,59,9,8208,1141,"320"
"Lake Charles-Jennings, LA CSA",231201,225564,165003,53059,1015,2120,79,543,3745,5637,3182,310,76,21,17,1434,597,"324"
"Lansing-East Lansing-Owosso, MI CSA",534684,504415,430482,40403,2258,17646,135,642,12849,30269,16325,1329,437,133,39,8447,3559,"330"
"Las Vegas-Paradise-Pahrump, NV CSA",1995215,1420604,970618,195657,9324,165668,12653,3772,62912,574611,255249,9596,5801,3735,1186,261007,38037,"332"
"Lexington-Fayette--Frankfort--Richmond, KY CSA",687173,654967,567788,60417,1363,12370,194,985,11850,32206,13638,848,287,84,60,14989,2300,"336"
"Lima-Van Wert-Wapakoneta, OH CSA",181024,177228,159684,12869,273,955,31,309,3107,3796,2126,152,60,23,3,916,516,"338"
"Little Rock-North Little Rock-Pine Bluff, AR CSA",877091,838821,604775,205104,3520,11237,278,868,13039,38270,15697,972,468,130,142,18089,2772,"340"
"Longview-Marshall, TX CSA",280000,242506,184153,51118,1179,1996,78,256,3726,37494,14773,521,545,50,31,19531,2043,"346"
"Los Angeles-Long Beach-Riverside, CA CSA",17877006,9848175,6004354,1173691,46945,2162146,43868,40068,377103,8028831,3817115,71495,98482,37040,6967,3564354,433378,"348"
